#{"t_start": 1776079954.582204, "env_id": "highway-v0"}
r,l,t
1.960209,3,15047.0745
7.928283,10,15059.522026
10.454651,13,15075.970164
10.985716,12,15091.179768
15.008034,17,15112.753207
4.752939,6,15120.4391
7.959012,9,15131.867315
6.004529,8,15141.900293
8.952921,10,15154.620113
9.959012,11,15168.573042
6.221538,9,15179.988967
6.756079,8,15190.097985
13.365703,15,15209.173351
14.955316,16,15229.206819
7.159721,9,15240.633954
12.009527,16,15261.132199
7.516704,9,15272.5705
3.275388,4,15277.66647
8.556428,10,15290.268624
3.959047,5,15296.630828
13.770118,17,15318.197347
5.172549,7,15327.087618
2.790567,4,15332.220421
3.756282,5,15338.74215
4.969463,7,15347.6811
10.205682,12,15363.019789
1.919462,3,15366.841909
3.959047,5,15373.181733
9.753964,11,15387.186859
6.556434,8,15397.353271
10.576112,15,15416.349381
2.397471,4,15421.402628
3.959047,5,15427.762545
4.983875,6,15435.387764
5.719748,7,15444.260687
9.611401,13,15460.593282
24.691523,30,15498.68043
10.559052,12,15513.982288
1.958373,3,15517.843597
12.550337,14,15535.49071
4.959018,6,15543.046513
9.395184,11,15556.913838
5.121548,6,15564.507168
3.92233,5,15570.866137
3.116677,4,15576.019885
9.280641,11,15590.095207
6.805791,9,15601.522009
1.960209,3,15605.337849
19.84919,21,15631.803283
10.959012,12,15646.998254
5.612204,8,15657.155416
9.753954,11,15670.959593
24.34525,26,15704.215625
3.957206,5,15710.554613
7.564862,9,15721.962558
19.946034,21,15748.415973
5.558215,7,15757.254274
6.559634,8,15767.383031
8.882852,11,15781.382041
27.754321,29,15818.380277
10.875388,12,15833.386687
9.002482,11,15847.471106
6.275348,7,15856.308758
7.369391,9,15867.623605
5.449378,7,15876.494147
16.786876,18,15899.104767
9.851162,11,15913.042634
11.951635,13,15929.509043
10.946841,12,15944.666642
10.191839,11,15958.566102
9.273498,10,15971.281895
15.754068,17,15992.882634
3.570642,5,15999.35245
9.556428,11,16013.219302
10.47522,12,16028.467349
22.358718,24,16058.679317
15.555337,17,16080.290062
8.810264,12,16095.367762
9.55115,11,16109.185757
8.248388,10,16121.93447
12.752113,14,16139.63802
13.969854,17,16161.111008
9.757918,11,16175.070515
15.957171,17,16196.41282
6.357593,8,16206.558061
7.118222,8,16216.729137
4.385327,6,16224.401562
16.269265,17,16245.814116
22.550337,24,16276.219171
14.044848,15,16295.011922
1.960209,3,16298.842553
